TIMESTAMP,DD,HH,MM,SS,MS,US,CODE
71963327428607,8,7,53,53,274,286,0x0401
71963339348868,8,7,53,53,393,488,0x0401
71970126564405,8,7,55,1,265,644,0x0401
71971656393274,8,7,55,16,563,932,0x0101
71971665818147,8,7,55,16,658,181,0x0102
71974472158603,8,7,55,44,721,586,0x0401
71974484102840,8,7,55,44,841,28,0x0401
71981144080080,8,7,56,51,440,800,0x0401
71986407634463,8,7,57,44,76,344,0x0401
71986419924727,8,7,57,44,199,247,0x0401
77596736402970,8,23,32,47,364,29,0x0301
77596736424754,8,23,32,47,364,247,0x0301
77596843892525,8,23,32,48,438,925,0x0401
77597055617819,8,23,32,50,556,178,0x0301
77597065042717,8,23,32,50,650,427,0x0102
77599907354500,8,23,33,19,73,545,0x0401
77599919270105,8,23,33,19,192,701,0x0401
77617179447041,8,23,36,11,794,470,0x0401
78282232213008,9,1,27,2,322,130,0x0103
78282241638942,9,1,27,2,416,389,0x0102
78297688909588,9,1,29,36,889,95,0x0301
78297688920132,9,1,29,36,889,201,0x0301
78297789205715,9,1,29,37,892,57,0x0401
78298191550394,9,1,29,41,915,503,0x0101
78298200976288,9,1,29,42,9,762,0x0102
78302010689057,9,1,30,20,106,890,0x0401
78302022569308,9,1,30,20,225,693,0x0401
78308448386109,9,1,31,24,483,861,0x0401
78312799890451,9,1,32,7,998,904,0x0401
78312812753201,9,1,32,8,127,532,0x0401
134209232726766,15,12,48,12,327,267,0x0301
134209232732857,15,12,48,12,327,328,0x0301
134209232741452,15,12,48,12,327,414,0x0301
134209233455377,15,12,48,12,334,553,0x0401
224352075361158,25,23,12,0,753,611,0x0301
224352084787027,25,23,12,0,847,870,0x0102
224356532912770,25,23,12,45,329,127,0x0401
224356544818165,25,23,12,45,448,181,0x0401
224361969960146,25,23,13,39,699,601,0x0301
224361969978423,25,23,13,39,699,784,0x0301
224362071509098,25,23,13,40,715,90,0x0401
224362071515835,25,23,13,40,715,158,0x0301
224362080941763,25,23,13,40,809,417,0x0102
224366636182420,25,23,14,26,361,824,0x0401
224366648071196,25,23,14,26,480,711,0x0401
224373340212490,25,23,15,33,402,124,0x0401
224398786714600,25,23,19,47,867,146,0x0401
224398798829888,25,23,19,47,988,298,0x0401
227168978523461,26,7,1,29,785,234,0x0301
227168978529564,26,7,1,29,785,295,0x0301
227168978537355,26,7,1,29,785,373,0x0301
227168980432195,26,7,1,29,804,321,0x0401
227188909433920,26,7,4,49,94,339,0x0301
227188918859773,26,7,4,49,188,597,0x0102
227193413441216,26,7,5,34,134,412,0x0401
227193425386402,26,7,5,34,253,864,0x0401
227263133788266,26,7,17,11,337,882,0x0401
227282436939478,26,7,20,24,369,394,0x0301
227282436956878,26,7,20,24,369,568,0x0301
227282538690882,26,7,20,25,386,908,0x0401
227282538699424,26,7,20,25,386,994,0x0301
227282779674592,26,7,20,27,796,745,0x0301
227282939631365,26,7,20,29,396,313,0x0101
227282949057250,26,7,20,29,490,572,0x0102
227287428085285,26,7,21,14,280,852,0x0401
227287439966182,26,7,21,14,399,661,0x0401
227327575131410,26,7,27,55,751,314,0x0301
227327575145965,26,7,27,55,751,459,0x0301
227327577292132,26,7,27,55,772,921,0x0401
227347337647063,26,7,31,13,376,470,0x0301
227347665688697,26,7,31,16,656,886,0x0301
227347675114560,26,7,31,16,751,145,0x0102
227352178561499,26,7,32,1,785,614,0x0401
227352190453189,26,7,32,1,904,531,0x0401
234029138810719,27,2,4,51,388,107,0x0301
234029138816826,27,2,4,51,388,168,0x0301
234029140438283,27,2,4,51,404,382,0x0401
234035852485711,27,2,5,58,524,857,0x0301
234035861911550,27,2,5,58,619,115,0x0102
234040164310797,27,2,6,41,643,107,0x0401
234040176173657,27,2,6,41,761,736,0x0401
234044798532561,27,2,7,27,985,325,0x0401
234045407169451,27,2,7,34,71,694,0x0401
234045419090997,27,2,7,34,190,909,0x0401
234052386010127,27,2,8,43,860,101,0x0401
234053499701138,27,2,8,54,997,11,0x0401
234053511874783,27,2,8,55,118,747,0x0401
234055474782093,27,2,9,14,747,820,0x0301
234055474796481,27,2,9,14,747,964,0x0301
234055476225547,27,2,9,14,762,255,0x0401
234082575347566,27,2,13,45,753,475,0x0301
234082899468198,27,2,13,48,994,681,0x0301
234082908894051,27,2,13,49,88,940,0x0102
234087419963630,27,2,14,34,199,636,0x0401
234087431822693,27,2,14,34,318,226,0x0401
234097370423277,27,2,16,13,704,232,0x0401
234111071297018,27,2,18,30,712,970,0x0401
234111083757693,27,2,18,30,837,576,0x0401
234125766629093,27,2,20,57,666,290,0x0401
234126374225348,27,2,21,3,742,253,0x0401
234126386045054,27,2,21,3,860,450,0x0401
234127457476172,27,2,21,14,574,761,0x0301
234127457495097,27,2,21,14,574,950,0x0301
234127569008059,27,2,21,15,690,80,0x0401
234127973008516,27,2,21,19,730,85,0x0102
234132506584265,27,2,22,5,65,842,0x0401
234132518469319,27,2,22,5,184,693,0x0401
235016460140514,27,4,49,24,601,405,0x0401
235040625629249,27,4,53,26,256,292,0x0401
235040638224588,27,4,53,26,382,245,0x0401
235066900514806,27,4,57,49,5,148,0x0301
235067000729879,27,4,57,50,7,298,0x0401
235081746595679,27,5,0,17,465,956,0x0401
235081753869192,27,5,0,17,538,691,0x0401
235081765733823,27,5,0,17,657,338,0x0401
235084470374047,27,5,0,44,703,740,0x0301
235084470803786,27,5,0,44,708,37,0x0401
235086285463362,27,5,1,2,854,633,0x0401
235086292747509,27,5,1,2,927,475,0x0401
235086304684792,27,5,1,3,46,847,0x0401
235087974823476,27,5,1,19,748,234,0x0301
235087976290900,27,5,1,19,762,909,0x0401
235121027962322,27,5,6,50,279,623,0x0103
235121037388525,27,5,6,50,373,885,0x0102
235123332103295,27,5,7,13,321,32,0x0301
